Id,Message,Human,Prediction
0,way shorted wells fargo show buy stocks still show try sell one,Neutral,negative
1,pm find,Neutral,neutral
2,yashant sinha side lined bjp since long frustrated saying many citizens like paying lacs rupees incomes tax every year nation building many evading taxes accumulated crores rupees black money demonitization right step regard common men bundles currency notes accumulated home poor led luxurious life worked hard entire economy standing black money record accounts paying sales tax required kept losers demonitization rich poor people poor people nothing deposit banks eaned bread daily basis,Negative,negative
3,hi citibank rewards credit card need apply cash back card possible help dhaval shah,Neutral,neutral
4,salary creditcard available,Neutral,neutral
5,think government reduce prices election initial month crossed bench marks cosliest countries world oil prices small industry agriculture small business hit hard people put bank restrictions poor interest people go gold silver share market bonds assets one keep money bank entire system collapsed g p dropped economy running single engine money people jobs business price attracted gst pay tax without income go bullet train mumbai amdabad eat dockala,Negative,negative
6,pl mention u cut cibil see,Neutral,neutral
7,representative kolkata pin code,Neutral,neutral
8,better insurance instead paying per year risk civil score may cut misses payment mean pay avoiding unnessesary high high risk,Neutral,neutral
9,whatsgoodthisdiwali done citibank india,Neutral,neutral
10,https facebook com story php story fbid id whatsgoodthisdiwali citibank india want gift gas burner grandmother whenever go dadi home dadi always cook food gifting burner really great pleasure make happy diwali rightly said nothing going well call grandmother,Positive,positive
11,hi team link entry https www facebook com photo php fbid set type theater,Neutral,neutral
12,whatsgoodthisdiwali diwali would love gift needy kids books dresses happiness,Positive,positive
13,exactly citi card members look never applied card illegal activity criminal empire dying grasping straws stay alive destroying lives better run opposite direction people absolute bastards https www nbcnews com business consumer citibank pay credit cardholders illegal practices n,Negative,negative
14,big business get huge tax breaks renewable energy ordinary people smaller wind generators solar water panels forth cost seventies tvs computers radios part dropped price changes production technics support tax breaks public production cannot increase point cost reduction big business bribing house senate call lobbying bribery,Negative,negative
15,windmills charge phone great idea,Positive,positive
16,windmills pockmark hills along beautiful columbia river gorge churn fowl subsidized,Positive,positive
17,megawatt hours energy power,Neutral,negative
18,still waiting citibank call next hrs well days ago substandard service,Negative,negative
19,system fully false right,Negative,negative
20,worst credit card ever worst customer service ever,Negative,negative
21,may allah reward u thanks da good heart,Positive,positive
22,religion cost problem would need reasonable person contribute even bother help whereas knows problem also contributed,Negative,negative
23,allah always together,Neutral,neutral
24,good beautiful effort needy dependent ones rewar rests allah almi saiitd true virtue self rewad appreciate mala yousa zai struggle humen beings,Positive,positive
25,boy going school think help boys n girls,Neutral,neutral
26,absolutely splendid ways help people lot people around world able go school due poverty enough money spend studies thereby given chance learn experience great beneficial able access free education may allah bless extremely grant good health thanks,Positive,positive
27,sell sell sell selll selll selll,Neutral,neutral
28,finally dgb lost,Negative,negative
29,dgb lambo come,Neutral,neutral
30,wtf givw dgb award already,Neutral,negative
31,dgb go earth faking scam,Negative,negative
32,dgb unite people,Neutral,neutral
33,set stop loss,Negative,negative
34,told guys minutes ago last chance,Neutral,neutral
35,dgb lost congrats emc holders winning award,Positive,positive
36,ima gala gala dgb,Neutral,neutral
37,hahaha sellers crying,Negative,negative
38,dgb award congratulations,Positive,positive
39,congratulations dgb,Positive,positive
40,epic crash incoming,Negative,negative
41,dgb strong profit,Positive,positive
42,congratulation dgb,Positive,positive
43,dgb even annouced,Neutral,negative
44,first lambo license plate dgbs,Neutral,neutral
45,dgb herrraaay,Positive,positive
46,dgb great,Positive,positive
47,hold sell,Neutral,negative
